A,B,C,D,E
Z,3.0,,-0.46603650186824225,O
X,,Q,-1.5947030672667954,O
Z,40.0,,0.5136001065697166,M
Z,36.0,Q,-0.5327008396619114,M
X,,,-1.169916835710288,O
X,95.0,R,,M
Z,6.0,R,-0.027514905050636255,N
Y,66.0,R,1.772251596669744,M
Z,84.0,R,1.66125921454787,N
Z,92.0,R,-0.45709625658627184,N
Z,75.0,Q,-0.6022120603617805,N
Z,4.0,Q,0.46877425607502377,N
X,,Q,-0.9983854391882915,N
Z,6.0,Q,0.30179189981946597,M
,94.0,R,0.7660802783846903,N
X,51.0,R,1.2269332238843076,M
Y,62.0,R,-0.10015407647995278,N
,57.0,P,-0.20367375017696587,O
Y,66.0,Q,-0.877982586756561,N
Y,79.0,Q,-0.82688035403986,O
X,75.0,R,-0.22647889190152676,N
X,8.0,Q,0.3673655068161781,N
Y,,Q,0.9135846262332494,N
Y,,R,-0.8031789506803448,O
X,45.0,P,1.4926885689595217,O
X,44.0,P,-0.2711236010425688,N
X,5.0,,-0.021367294348436157,M
Z,70.0,,-0.7472116791478234,N
Z,26.0,Q,-2.4242402602729416,O
Z,68.0,R,0.8840453963610497,N
Y,19.0,R,,O
Z,84.0,,-0.2813275571182134,O
Y,97.0,P,0.06699071722487192,O
,20.0,P,0.5159392177040995,N
Z,12.0,R,-1.5625458568865427,O
Y,47.0,,-0.5290526773462948,O
,1.0,R,,N
Z,90.0,R,,O
X,14.0,Q,0.2935579321666293,N
Z,64.0,Q,-1.356581804623405,O
X,38.0,Q,0.46642998243352635,M
Z,37.0,R,-0.03564148229748357,M
Z,11.0,,-1.6151318159055095,O
X,77.0,P,1.1647393544571714,M
X,3.0,P,-0.7345915767980492,N
Z,33.0,R,-0.810252437014381,M
Y,6.0,R,,O
,50.0,,1.1486373494287152,O
Y,,R,-1.015821818978397,N
,5.0,,0.06167984984797165,O
Y,23.0,,0.42881650033057295,N
X,10.0,P,0.6931056072631441,M
Y,44.0,Q,0.1764415552772252,M
,2.0,R,-0.3670278390833223,N
Y,13.0,R,,N
Z,40.0,P,0.08614388304637476,O
